,embeddings,r,p
300,Word2Vec,0.1892255166427906,9.908731326598768e-16
301,Word2Vec,0.24981309834715806,1.373321628928994e-26
302,Word2Vec,0.18066174615113723,1.882403914174421e-14
303,Word2Vec,0.17656394036435835,7.325985137573185e-14
304,Word2Vec,0.2160748674313439,3.822192727481489e-20
305,Word2Vec,0.09234792753284755,9.992441538011534e-05
306,Word2Vec,0.10299635933260215,1.413926273305878e-05
307,Word2Vec,0.16719480958445482,1.4516802696897174e-12
308,Word2Vec,0.07730297295403664,0.001134660470453857
309,Word2Vec,0.039368507413356416,0.09777068177144517
310,Word2Vec,0.02302219597648397,0.3330347175373259
311,Word2Vec,0.25738508206335897,3.5418146439358605e-28
312,Word2Vec,0.19827999717458042,3.77299751050155e-17
313,Word2Vec,0.15742943301574383,2.735234456102277e-11
314,Word2Vec,0.14048887898155976,2.923363038513202e-09
315,Word2Vec,0.12538185705124116,1.208827730170752e-07
316,Word2Vec,0.19103589648600047,5.221505706704367e-16
317,Word2Vec,0.11257318951485683,2.0557918457046923e-06
318,Word2Vec,0.18216690958900264,1.1335113171123691e-14
319,Word2Vec,0.1378844420994486,5.7204816460577116e-09
320,Word2Vec,0.18173323353679988,1.3124731409259004e-14
321,Word2Vec,0.12460772832266845,1.4466504418419264e-07
322,Word2Vec,0.1737982250284575,1.8000504403915587e-13
323,Word2Vec,0.1224926336514581,2.3501140187457905e-07
324,Word2Vec,0.06143322112583351,0.009732372483205194
325,Word2Vec,0.18188718047679006,1.2459731958496233e-14
326,Word2Vec,0.19425340051394738,1.6461675083140597e-16
327,Word2Vec,0.11928305667555993,4.832810500645517e-07
328,Word2Vec,0.2564355041456564,5.641044155916459e-28
329,Word2Vec,0.1975219881020673,4.990949488874966e-17
330,Word2Vec,0.03689644450734617,0.12073028085571143
331,Word2Vec,0.20392307198161502,4.536553344395593e-18
332,Word2Vec,0.1254752672187548,1.182826295516341e-07
333,Word2Vec,0.1383823929485148,5.036245481344655e-09
334,Word2Vec,0.08468983932111786,0.00036121567699210855
335,Word2Vec,0.11996346956674188,4.1542350791150445e-07
336,Word2Vec,0.17769725062083552,5.0471837043525876e-14
337,Word2Vec,0.12051248551913304,3.6745941197977774e-07
338,Word2Vec,0.168262570177033,1.0416283670148892e-12
339,Word2Vec,0.20223243128171914,8.614088913059444e-18
340,Word2Vec,0.17205570220455826,3.1478327347705176e-13
341,Word2Vec,0.16692860105463408,1.5763978856001515e-12
342,Word2Vec,0.1838084032925511,6.4867200183735335e-15
343,Word2Vec,0.14299821953852998,1.5131146396827284e-09
344,Word2Vec,0.1209700995855175,3.3160349539261153e-07
345,Word2Vec,0.18772074481086515,1.6794519228034341e-15
346,Word2Vec,0.11100655157881147,2.849604676565153e-06
347,Word2Vec,0.0906550747843289,0.00013390977521433842
348,Word2Vec,0.09567795647051781,5.537227669442365e-05
349,Word2Vec,0.1430135957924097,1.5069671709646126e-09
350,Word2Vec,0.21413524601278794,8.3567536246167e-20
351,Word2Vec,0.2066040774481424,1.6220391957566009e-18
352,Word2Vec,0.1606014312346947,1.0748341036051108e-11
353,Word2Vec,0.169534263227725,6.995167822096776e-13
354,Word2Vec,0.1385758809482951,4.792432022953707e-09
355,Word2Vec,0.16533968174687094,2.571018066425577e-12
356,Word2Vec,0.0736486062461992,0.00193181192701472
357,Word2Vec,0.0843788906298595,0.0003797561751100691
358,Word2Vec,0.16048264499653897,1.1134740094216688e-11
359,Word2Vec,0.17344380635990245,2.017703772280204e-13
360,Word2Vec,0.2159750236890488,3.979977127994923e-20
361,Word2Vec,0.17068240029631124,4.870116427829701e-13
362,Word2Vec,0.2108549906031485,3.083922541426066e-19
363,Word2Vec,0.1602151133456228,1.2055461628449047e-11
364,Word2Vec,0.2044185509412429,3.755297812942204e-18
365,Word2Vec,0.1788821789305228,3.4097232061650156e-14
366,Word2Vec,0.09769506450194888,3.83647793225545e-05
367,Word2Vec,0.10262838990757646,1.517770208921397e-05
368,Word2Vec,0.12257007174871538,2.3090608393759305e-07
369,Word2Vec,0.07541196059620726,0.0014985472126859837
370,Word2Vec,0.1963768300034744,7.599824224771539e-17
371,Word2Vec,0.11895707732681758,5.194608261531379e-07
372,Word2Vec,0.17483361091010063,1.2878601813514323e-13
373,Word2Vec,0.13149144167524623,2.8203264505699262e-08
374,Word2Vec,0.16567872135082812,2.3171233736913922e-12
375,Word2Vec,0.12793946819566984,6.627227472743088e-08
376,Word2Vec,0.22812242655341045,2.500601263672625e-22
377,Word2Vec,0.17902071843510417,3.256327756729951e-14
378,Word2Vec,0.13206697506481527,2.4504497258421284e-08
379,Word2Vec,0.19253520213425188,3.0568928749030463e-16
380,Word2Vec,0.22407210270226008,1.4018520697686354e-21
381,Word2Vec,0.18576180511883889,3.3160425521647302e-15
382,Word2Vec,0.18004217993094887,2.3165355937150392e-14
383,Word2Vec,0.16908750549692295,8.048155865523993e-13
384,Word2Vec,0.14119429229147107,2.4321358303943026e-09
385,Word2Vec,0.14419568010367464,1.100566671714898e-09
