,word,pfgw,freq,OR,LOR
366,checking,0.0,4,1.0,0.0
367,rev,0.0,2,1.0,0.0
368,regis,0.0,1,1.0,0.0
369,vegetables,0.5,2,1.0,0.0
370,instrument,0.25,8,0.3333235827531738,-1.0986415408364287
371,exceed,0.0,3,1.0,0.0
372,sixth,0.5,4,1.0,0.0
373,machismo,0.0,3,1.0,0.0
374,shires,1.0,2,1.0,0.0
375,drink,0.611111111111111,36,1.571520518918196,0.45204363407014664
376,runs,0.3333333333333333,9,0.49998903051710136,-0.6931691197664052
377,station,0.4375,16,0.7777664016849619,-0.25132905479292195
378,kathy,0.5714285714285714,7,1.3333430840561058,0.28768938546712014
379,tense,0.0,3,1.0,0.0
380,fift,1.0,2,1.0,0.0
381,hane-uchi-mata,0.0,1,1.0,0.0
382,counteract,1.0,1,1.0,0.0
383,confession,0.0,2,1.0,0.0
384,scheduled,0.0,4,1.0,0.0
385,bathroom,0.9230769230769231,13,12.000965378033262,2.4849870947216584
386,freaking,1.0,1,1.0,0.0
387,racetrack,1.0,6,1.0,0.0
388,geography,0.8333333333333334,6,5.000146261911205,1.6094671643884988
389,descending,0.0,1,1.0,0.0
390,granola,1.0,3,1.0,0.0
391,grip,0.0,4,1.0,0.0
392,interrupted,1.0,1,1.0,0.0
393,stables,1.0,1,1.0,0.0
394,instructor,1.0,2,1.0,0.0
395,states,0.18181818181818182,11,0.22221084654536946,-1.5041285886323923
396,norm,0.0,7,1.0,0.0
397,dialed,1.0,2,1.0,0.0
398,shock,0.0,3,1.0,0.0
399,tupperware,0.0,2,1.0,0.0
400,compassion,0.0,1,1.0,0.0
401,ages,0.6,5,1.5000109694828985,0.40547242107002357
402,killed,0.25,4,0.333328458078906,-1.0986269145383492
403,here,0.4367977528089888,712,0.7750494946713546,-0.25482838757594384
404,secret,0.0,2,1.0,0.0
405,reflection,1.0,2,1.0,0.0
406,which'd,0.0,2,1.0,0.0
407,agriculture,0.0,2,1.0,0.0
408,distributed,0.0,2,1.0,0.0
409,guys',1.0,3,1.0,0.0
410,beth,1.0,21,1.0,0.0
411,sled,0.5,2,1.0,0.0
412,slick,0.25,4,0.333328458078906,-1.0986269145383492
413,finalized,0.0,1,1.0,0.0
414,cork,1.0,3,1.0,0.0
415,hane,0.0,2,1.0,0.0
416,number,0.4375,80,0.7777208856639187,-0.25138757795981165
417,burden,0.5,6,1.0,0.0
418,fill,0.2857142857142857,28,0.39996489637116234,-0.9163784947973019
419,effective,0.0,4,1.0,0.0
420,application,0.6,10,1.500021939447126,0.4054797342992851
421,toiletries,0.0,2,1.0,0.0
422,believing,0.5,2,1.0,0.0
423,electricity,0.0,2,1.0,0.0
424,fashioned,0.0,1,1.0,0.0
425,ashes,1.0,3,1.0,0.0
426,contamidate,1.0,2,1.0,0.0
427,weeds,1.0,1,1.0,0.0
428,penthouse,0.0,1,1.0,0.0
429,hisd,0.0,1,1.0,0.0
430,rapids,1.0,2,1.0,0.0
431,tra,0.0,1,1.0,0.0
432,flux,1.0,2,1.0,0.0
433,dumbdumb,1.0,1,1.0,0.0
434,extent,0.39999999999999997,5,0.6666617913765869,-0.4054724210700237
435,graded,1.0,4,1.0,0.0
436,row,0.6153846153846153,13,1.6000351036288376,0.4700255687730859
437,things,0.4824561403508772,228,0.9321488095799256,-0.070262810110703
438,dangerouʔ,0.0,2,1.0,0.0
439,moldy,1.0,2,1.0,0.0
440,athletes,0.39999999999999997,5,0.6666617913765869,-0.4054724210700237
441,mitchell,0.0,8,1.0,0.0
442,bens,0.0,1,1.0,0.0
443,pile,0.4,15,0.6666520403685828,-0.40548704779596334
444,squall,0.0,1,1.0,0.0
445,kashen,1.0,2,1.0,0.0
446,slow,1.0,6,1.0,0.0
447,trashed,1.0,1,1.0,0.0
448,one-hundred,0.0,1,1.0,0.0
449,pull,0.24000000000000005,50,0.31572942624673495,-1.152869678237903
450,brilliant,1.0,1,1.0,0.0
451,truth,0.411764705882353,17,0.6999846422746986,-0.35669688378698255
452,trailor,0.0,1,1.0,0.0
453,farrington's,1.0,4,1.0,0.0
454,fence,0.0,6,1.0,0.0
455,exactly,0.35714285714285715,42,0.5555067980194689,-0.587874432318522
456,creation,0.0,3,1.0,0.0
457,men's,0.5,4,1.0,0.0
458,daffy,0.0,1,1.0,0.0
459,passport,0.0,1,1.0,0.0
460,support,0.375,8,0.599991224413681,-0.5108402498501496
461,letting,0.0,3,1.0,0.0
462,year's,1.0,8,1.0,0.0
463,thank,0.45945945945945943,74,0.8499626953010708,-0.16256281834196928
464,stock,0.0,4,1.0,0.0
465,heater,0.25,4,0.333328458078906,-1.0986269145383492
466,res,0.0,4,1.0,0.0
467,ʔapples,0.0,1,1.0,0.0
468,spots,1.0,3,1.0,0.0
469,greatest,1.0,3,1.0,0.0
470,thousand,0.45,60,0.8181459117539691,-0.20071458205919152
471,mortify,0.0,1,1.0,0.0
472,landed,1.0,1,1.0,0.0
473,empire,1.0,4,1.0,0.0
474,favor,0.0,2,1.0,0.0
475,relevant,0.0,2,1.0,0.0
476,january,0.2,10,0.24998903059732053,-1.386338239693259
477,soil,1.0,1,1.0,0.0
478,x-rays,1.0,2,1.0,0.0
479,efficiency,0.0,2,1.0,0.0
480,entertaining,0.0,2,1.0,0.0
481,oregon,1.0,2,1.0,0.0
482,back's,1.0,2,1.0,0.0
483,nodding,1.0,1,1.0,0.0
484,lame,0.44444444444444436,9,0.7999941495663365,-0.22315086438302953
485,offended,0.2,5,0.24999451533876924,-1.3863163000054692
486,property,0.0,2,1.0,0.0
487,jamie's,0.0,1,1.0,0.0
488,concrete's,0.0,4,1.0,0.0
489,realize,0.4782608695652174,23,0.916659962701576,-0.08701869043283546
490,job,0.29310344827586204,58,0.41456136573521163,-0.8805342677526629
491,fifteenth,0.0,8,1.0,0.0
492,forty-four,1.0,1,1.0,0.0
493,ut,1.0,1,1.0,0.0
494,liberty,0.0,6,1.0,0.0
495,ceiling,0.44444444444444436,9,0.7999941495663365,-0.22315086438302953
496,assume,0.25,12,0.3333187073561352,-1.0986561675623687
497,investment,0.2857142857142857,7,0.3999912244778564,-0.9163126709201732
498,rock,0.39999999999999997,5,0.6666617913765869,-0.4054724210700237
499,way's,0.0,2,1.0,0.0
500,carol,1.0,5,1.0,0.0
501,calling,0.4347826086956522,23,0.7692138922392842,-0.2623862047971089
502,seam,0.25,4,0.333328458078906,-1.0986269145383492
503,without,0.25,32,0.33329432930129155,-1.0987293076106845
504,tack,0.0,6,1.0,0.0
505,knife,0.6666666666666666,3,2.0000146258702394,0.6931544934683256
506,houses,0.6666666666666666,3,2.0000146258702394,0.6931544934683256
507,mics,0.0,1,1.0,0.0
508,sal,1.0,3,1.0,0.0
509,collection,0.0,1,1.0,0.0
510,debatable,1.0,3,1.0,0.0
511,echar,1.0,1,1.0,0.0
512,garish,0.0,1,1.0,0.0
513,crazy,0.7499999999999999,20,3.00021940891239,1.0986854222979106
514,thirty-six,0.0,3,1.0,0.0
515,tracking,1.0,2,1.0,0.0
516,energy,0.0,2,1.0,0.0
517,fizzy,0.0,1,1.0,0.0
518,themselves,0.11111111111111112,18,0.12498720236354062,-2.0795439280128125
519,feeds,1.0,1,1.0,0.0
520,so-called,0.0,1,1.0,0.0
521,garcia,0.3333333333333333,3,0.4999963435591795,-0.6931544934683256
522,tal,0.0,1,1.0,0.0
523,three-ton,0.0,1,1.0,0.0
524,winter's,1.0,2,1.0,0.0
525,mess,0.7333333333333334,15,2.750140783266903,1.0116521042833535
526,bulldozer,0.0,2,1.0,0.0
527,ounce,1.0,1,1.0,0.0
528,there's,0.5094339622641509,371,1.0385147706705737,0.0377915873148027
529,quarts,1.0,1,1.0,0.0
530,ovary,1.0,1,1.0,0.0
531,milwaukee,1.0,2,1.0,0.0
532,file,0.5,6,1.0,0.0
533,coordinating,0.0,9,1.0,0.0
534,sode-makikomi,0.0,3,1.0,0.0
535,marci,1.0,3,1.0,0.0
536,bedspreads,1.0,2,1.0,0.0
537,help,0.6071428571428571,56,1.545590198905197,0.43540584316796505
538,chairs,0.2,5,0.24999451533876924,-1.3863163000054692
539,liver,0.8333333333333334,12,5.000292534519073,1.609496417626453
540,stole,1.0,2,1.0,0.0
541,schedules,1.0,1,1.0,0.0
542,retirement,0.3636363636363636,11,0.571416034785007,-0.5596377273023265
543,hooks,0.0,1,1.0,0.0
544,x,0.5242718446601943,412,1.1022022520280361,0.09731022567670164
545,c,0.42857142857142855,35,0.7499725738859513,-0.28771864127247704
546,services,0.0,4,1.0,0.0
547,boilerplate,0.0,2,1.0,0.0
548,diversion,0.0,8,1.0,0.0
549,travail,0.0,1,1.0,0.0
550,inducted,1.0,4,1.0,0.0
551,biblically,0.0,1,1.0,0.0
552,indians,1.0,2,1.0,0.0
553,thingy,0.0,1,1.0,0.0
554,complaints,1.0,3,1.0,0.0
555,sniff,1.0,3,1.0,0.0
556,found,0.5833333333333333,36,1.4000614371914426,0.3365161193665245
557,trimmed,1.0,3,1.0,0.0
558,posterior,0.0,8,1.0,0.0
559,vice,0.0,2,1.0,0.0
560,couches,0.0,2,1.0,0.0
561,prolific,0.0,3,1.0,0.0
562,gallon,0.2,5,0.24999451533876924,-1.3863163000054692
563,wisconsin,1.0,1,1.0,0.0
564,lib,1.0,3,1.0,0.0
565,hunger,0.0,3,1.0,0.0
566,suburbs,1.0,1,1.0,0.0
567,extras,1.0,2,1.0,0.0
568,queen,0.5555555555555556,9,1.2500091413694503,0.22315086438302945
569,ain't,0.0,5,1.0,0.0
570,earn,0.0,6,1.0,0.0
571,creature,0.3333333333333333,3,0.4999963435591795,-0.6931544934683256
572,textbooks,1.0,2,1.0,0.0
573,paragraphs,0.0,1,1.0,0.0
574,biggest,0.8571428571428572,7,6.00021939447126,1.7917960343047543
575,yelling,0.0,1,1.0,0.0
576,thomas,0.0,1,1.0,0.0
577,governed,0.7500000000000001,4,3.0000438779315943,1.0986269145383492
578,tiger,1.0,28,1.0,0.0
579,evidences,0.0,1,1.0,0.0
580,chapel,1.0,5,1.0,0.0
581,dense,1.0,3,1.0,0.0
582,ʔe,0.5,8,1.0,0.0
583,hurry,0.16666666666666666,12,0.19998829930380857,-1.609496417626453
584,mills,0.0,2,1.0,0.0
585,shit,0.8656716417910447,67,6.446754652932225,1.863576849598786
586,ran,0.8400000000000001,25,5.250652770159078,1.6583524060474646
587,anus,0.8,5,4.000087756504951,1.3863163000054692
588,debunk,0.0,2,1.0,0.0
